address,x,y
47 CIRCUIT RD,33829.9280621558,34223.0721528996
67 CIRCUIT RD,34077.3118646992,34231.1831553001
82 MACPHERSON LANE,33820.6162077691,34942.6994891074
37 CIRCUIT RD,33917.0319641735,34488.681852106
24 BALAM RD,34030.7997200163,34711.0711406637
65 CIRCUIT RD,33996.8562950362,34402.7642431743
49 CIRCUIT RD,33819.5927261673,34151.9867942967
24 EUNOS CRES,35680.3205665415,34002.4850806277
302 UBI AVE 1,35542.0214876682,34746.8054011688
4 HAIG RD,35107.9590177769,32711.0974388849
95 OLD AIRPORT RD,34012.9182427395,32302.3353106864
36 CIRCUIT RD,33966.4909694837,34582.532881178
10 HAIG RD,34960.8153919168,33014.6403978802
128 GEYLANG EAST AVE 1,34058.1316487771,33397.5162870251
33 EUNOS CRES,35510.5654855901,33604.7759423126
344 UBI AVE 1,35393.4862004528,34287.6979000252
40 SIMS DR,32789.4301937772,33305.3643512186
54 PIPIT RD,34039.3487001415,34010.9031214565
42 SIMS DR,32749.430750615,33252.7483346704
42 CIRCUIT RD,33895.5760801639,34341.8274973668
120 GEYLANG EAST CTRL,33724.0749603035,33386.7099509425
5 HAIG RD,35041.6407758044,32765.0485761929
134 GEYLANG EAST AVE 1,33863.9309939919,33141.4973314069
411 EUNOS RD 5,35385.4024392376,33429.0624271575
30 CASSIA CRES,33566.500987255,32417.1444970444
986A BUANGKOK CRES,33173.207281868,40430.9208673891
22 HOUGANG AVE 3,34360.0432845233,38481.3418451007
644 HOUGANG AVE 8,33335.4167663548,39272.1448898427
24 HOUGANG AVE 3,34540.0564878369,38617.0036140159
108 HOUGANG AVE 1,34318.3706877567,37208.458232522
619 HOUGANG AVE 8,33606.9765760684,39096.3742590025
623 HOUGANG AVE 8,33453.6536807967,39170.0322146136
311 HOUGANG AVE 5,34847.4670897927,38634.4462055285
501 HOUGANG AVE 8,33921.9384346027,39340.1975478176
698 HOUGANG ST 61,33964.1201691227,39672.884670563
307 HOUGANG AVE 5,34865.484924336,38743.9223244954
21 HOUGANG AVE 3,34472.417199716,38476.983376516
322 HOUGANG AVE 5,35084.6076920908,38792.4217136502
308 HOUGANG AVE 5,34948.5442064945,38760.4127457775
154 HOUGANG ST 11,33213.5180009743,37146.106186064
339 HOUGANG AVE 7,35261.9493826255,39116.0687885042
681 HOUGANG AVE 8,33822.3583421074,39457.1763432473
314 HOUGANG AVE 5,34777.4708640473,38534.3426282555
336 HOUGANG AVE 7,35237.3433582103,39036.2056540865
321 HOUGANG AVE 5,35229.2085349066,38792.7305681556
602 HOUGANG AVE 4,33964.9642523844,39249.5582544971
709 HOUGANG AVE 2,34093.9855283536,38788.29198022
674 HOUGANG AVE 8,33712.0968900351,39353.4821053352
165 HOUGANG AVE 1,34075.5804754943,36924.3991378602
332 HOUGANG AVE 5,35178.2755695935,38936.976488594
135 LOR AH SOO,33953.0058563054,36874.9913459793
419 HOUGANG AVE 8,34845.6028241394,39790.9185171034
938 HOUGANG ST 92,33159.2944518123,39587.3193506934
435 HOUGANG AVE 8,34708.9245957937,39945.6479050424
699B HOUGANG ST 52,34116.1955694454,39854.3981670253
155 HOUGANG ST 11,33227.6863533482,37195.105814185
445 HOUGANG AVE 8,34785.2171069765,40122.0263472628
617 HOUGANG AVE 8,33620.9589619506,39035.5787133388
411 HOUGANG AVE 10,34899.1757932603,39565.9536047392
448 HOUGANG AVE 10,34887.1408797186,40120.4525937177
142 LOR AH SOO,33516.4700381253,37236.3837164436
557 HOUGANG ST 51,34356.7512780782,40213.4284845777
465 UPP SERANGOON RD,35088.4050527923,39324.2133585643
835 HOUGANG CTRL,34307.9159748415,39153.4298017938
922 HOUGANG ST 91,33586.7516909568,39817.7126443293
912 HOUGANG ST 91,33642.0320467707,40052.3068011571
971 HOUGANG ST 91,33161.2628393294,40023.2297415268
941 HOUGANG ST 92,33104.331788755,39507.1724539287
984D BUANGKOK LINK,33301.2833795091,40481.4354686309
978D BUANGKOK CRES,33129.7933982667,40222.4559107199
572 HOUGANG ST 51,34028.0574709596,40027.7582253739
915 HOUGANG ST 91,33619.4310946688,39944.9410568178
570 HOUGANG ST 51,34096.4304852746,39994.7014101744
919 HOUGANG AVE 4,33648.6481134556,39776.4384650327
610 HOUGANG AVE 8,33765.4969987003,39147.786881052
958 HOUGANG ST 91,33171.4086977392,39846.9450089838
929 HOUGANG ST 91,33361.7605665196,39780.2017742526
456 HOUGANG AVE 10,34909.0040194485,39906.2190436404
171 HOUGANG AVE 1,34215.5208963212,37027.3827440515
136 LOR AH SOO,33896.4753419608,36864.6086405963
466 HOUGANG AVE 8,35087.5827322099,39391.8894222844
372 HOUGANG ST 31,34359.6049435828,38338.1421980541
461 HOUGANG AVE 10,34823.1394400243,39415.8001911137
940 HOUGANG ST 92,33170.3373927232,39498.3454623725
538 HOUGANG ST 52,34343.9055760568,39978.2288772706
628 HOUGANG AVE 8,33251.5573803149,39064.7511171177
407 HOUGANG AVE 10,34939.3180105016,39441.1108541898
705 HOUGANG AVE 2,34114.7673443658,38632.1172960587
410 PANDAN GDNS,18441.7896859031,33475.019275412
37 TEBAN GDNS RD,17909.6466902336,33642.1233047415
247 JURONG EAST ST 24,17504.4444704056,36019.9412065856
